"ID","gloss","scientific name","ZZ_reconstruction","comment",""
"ZZ001","wild fig","Ficus glomerata","*lVwa","",""
"ZZ002","mango","Mangifera Indica","*uXli/uXla","",""
"ZZ003","unripe mango","Mangifera Indica","*kaj'-er/kag'-er","",""
"ZZ004","Jamun_1","","*koXda","NM",""
"ZZ005","Jamun_2","","*koʔ-deX","SM",""
"ZZ006","tumeric","Curcuma longa","*R-saŋ","",""
"ZZ007","tamarind_1","","*R-tiXn","",""
"ZZ008","tamarind_2","","*(ro)joXd","(“perhaps”)",""
"ZZ009","date_1","Phoenix sylvestris","*Vn-deñ","",""
"ZZ010","date_2","Phoenix sylvestris","*raloXg","",""
"ZZ011","bamboo shoot_1","","*kV(-)led'/-led'","",""
"ZZ012","bamboo shoot_2","","*ta","(“in *ta-boŋ and *kaXl”",""
"ZZ013","bamboo shoot_3","","*boŋ","",""
"ZZ014","bamboo_1","","*maXd","",""
"ZZ015","bamboo_2","","*kaXl","",""
"ZZ016","bamboo_3","","*kV(-)reXŋ/*kV(-)ruXŋ","",""
"ZZ017","uncooked husked rice","Oryza sativa","*ruŋ(-)kub/g'","SM, AA",""
"ZZ018","paddy","Oryzs sativa","*baba","",""
"ZZ019","foxtail millet","Setaria italica","*(h)oXy","",""
"ZZ020","small millet","Panicum miliare","*ə-rig'","SM",""
"ZZ021","sorghum","Andropogon sorgum","*gaŋ(-)gay","",""
"ZZ022","ragi","eleusine coracana","*deray","KM",""
"ZZ023","horsegram","Dolichos biflorus","*kodaXj","",""
"ZZ024","black gram","Phaseolus mungo","*rVm","",""
"ZZ025","bottle gourd","Cucurbita lagenaria","*su(-)ku(g)","",""
"ZZ026","pestle","","*Vnrɨj'/VnreXj'","AA",""
"ZZ027","mortar","","*saXʔl","",""
"ZZ028","alcoholic beverage","","*əli","",""
"ZZ029","drunk","","*buXl","",""
"ZZ030","dog","","*soXd'/seXd'","",""
"ZZ031","cat_1","","*pusi","",""
"ZZ032","cat_2","","*rɛm","GRG, SG",""
"ZZ033","goat_1","","*-mɛd'","SM",""
"ZZ034","goat_2","","*merom","Kherw",""
"ZZ035","pig","","*buXd'","",""
"ZZ036","chicken","","*si(X)m","",""
"ZZ037","draught animal","","*ɔreXj'","",""
"ZZ038","faeces","","*ij","",""
"ZZ039","cow","","*taŋ","",""
