go_form,go_meaning,go_source,so_form,so_meaning,so_source,re_form,re_meaning,re_source,gu_form,gu_meaning,gu_source,kh_form,kh_meaning,kh_source,ju_form,ju_meaning,ju_source,gt_form,gt_meaning,gt_source,sa_form,sa_meaning,sa_source,mu_form,mu_meaning,mu_source,ho_form,ho_meaning,ho_source,kw_form,kw_meaning,kw_source,ko_form,ko_meaning,ko_source,pmunda,gloss,ID,pinnow,mkcd_no,mkcd_form,mkcd_meaning,mkcd_attested,pP_sid_2015_no,pP_sid2015_form,pP_sid2015_meaning,pWBah_SidJ2003_no,pWBah_SidJ2003_form,pWBah_SidJ2003_meaning,pSBah_Sid2000_no,pSBah_Sid2000_form,pSBah_Sid2000_meaning,pKat_sid2005_no,pKat_sid2005_form,pKat_sid2005_meaning,pM_Zide_ref,pM_Zide_form,pM_Zide_meaning,comment,swadesh_1971
ɖaʔ,water,FR,daʔ,water,RSED.p70,dak',water,BDBH.1179,ɖaʔ,water,ZG63.85,ɖaʔ,water,PKED.p41,ɖag,water,PJDW.p185,ndiaʔ,water,PGEG.p36,dak',water,CDES.p217,da:,water,BMED.p31,daʔ,water,DHED.p73,da:ʔ,water,BAHL.p87,ɖa,water,NKEV.p300,*daˀk,water,#A0001,V2,274,*diʔaak > *ɗaak,water,Mon; Khmer; Katuic; Khasi; Viet-Muong; South Aslian,44,*ʔoːm,water,62,*daak,water,46,*daːk,water,,,,,,,,75
za̰ŋ,bone,FR,əɟaŋ,,RSED.p6,siʔsaŋ,,BDBH.2614,sisaŋ,,AG08.p651,jaŋ,,PKED.p83,ɟaŋ,,PJDW.p210,ncia,,PGEG.p36,jaŋ,,CDES.p19,ja:ŋ,,BMED.p80,jaŋ,,HOGV.p150,ja:ŋ,,BAHL.p60,—,,,*ɟaŋ,bone,#A0002,V7,488,*cʔaaŋ; *cʔaiŋ; *cʔi[ ]ŋ,bone,Khmer; Katuic; Palaungic; Viet-Muong; Central & South Aslian,9,*cəʔaːŋ,bone,1031,*k[r]ʔtɨɨŋ,bone,288,*nətiːŋ,bone,,,,,,,,31
laŋ,tongue,FR,əlaŋ,,RSED.p158,leaŋ,,BDBH.2423,laʔŋ,,AG08.p638,laŋ,,PKED.p173,elaŋ,,PJDW.p191,nlia,,PGEG.p36,alaŋ,,CDES.p203,a:la:ŋ,,BMED.p5,(leʔ),,DHED.p208,a:la:ŋ,,BAHL.p11,laŋ,,NKEV.p322,*laŋ,tongue,#A0003,V14,—,—,—,—,785,*-taːk,tongue,507,*lpiat,tongue,,,,,,,,,,,44
kulaʔ,tiger,FR,kina:,,RSED.p140,ŋku,,MVol.p733,gikil,,AG08.p651,kiɽoʔ,,PKED.p102,kiɭog,,PJDW.p224,nku,,PGEG.p36,kul,,CDES.p201,kula:,,BMED.p98,kula,,HOGV.p183,ku:l,,BAHL.p33,kula,,NKEV.p319,*kᵊla,tiger,#A0004,V281,197,*klaʔ,tiger,Mon; Khmer; Bahnaric; Khasi; Central Aslian,877,*rəʋaːj,tiger,1003,*klɨɨ,tiger,,,,,,,,,,,
taɲ,to weave,FR,taɲ,,RSED.p281,taNy,,BDBH.1358,taɲ,,GZ65.369,taɲ,,PKED.p196,—,—,—,tæ,,PGEG.p45,teɲ,,CDES.p219,teŋ,,BMED.p183,teɲ,,HOGV.p187,—,,—,—,,—,*taɲ,weave (v),#A0005,V301,898,*t₁aaɲ,to weave; to plait; to twill,Mon; Khmer; Katuic; Bahnaric; Khmuic; Palaungic; Khasi; Viet-Muong; Nicobarese; Central Asian,787,*taːɲ,weave,90,*taaɲ,weave,,,,,,,,,,,
ɖaˀɟ,to climb,FR,daɟ,,RSED.p72,ɖaĭ,,BDBH.1168,ɖaj,,GZ65.79,—,—,—,ɖaɲ,,PJDW.p186,ɖæʔ,,PGEG.p16,de̠c',,CDES.p32,dej',,BMED.p40,deʔ,,DHED.p81,deʔ,,BAHL.p89,(cuɖe),,NKEV.p298,*daˀc,climb (v),#A0006,V333,332,*[ɗ]ək,to stand up; to go up,Bahnaric,279,*hoːk,climb,1059,*dɨk,climb,,,,,,,,,,,
ɖeraŋ,horn,FR,deraŋ,,RSED.p78,deruŋ,,BDBH.1266,—,—,—,ɖereŋ,,PKED.p44,—,—,—,ɖiraŋ,,PGEG.p17,dereɲ,,CDSE.p171,diriŋ,,BMED.p49,diriɲ,,HOGV.p162,dereŋ,,BAHL.p89,—,,—,*dəraŋ,horn,#A0007,V347,699,*d₂raŋ,horn,"Mon, Palaungic, Viet-Muong",677,*-rɤŋ,horn,358,*sneeŋ,horn,,,,,,,,,,,34
siʔ,hand,FR,si:ʔ,,RSED.p254,titi,,BDBH.1370,titi,,GZ65.p29,tiʔ,,PKED.p199,iti,,PJDW.p208,nti,,PGEG.p37,ti,,CDES.p89,ti,,BMED.p186,ti:,,DHED.p350,tiʔi:,,BAHL.p63,ʈi,,NKEV.p343,*tiiˀ,hand,#A0008,V75,66,*t₁iiʔ,hand; arm,Mon; Khmer; Katuic; Bahnaric; Khmuic; Palaungic; Khasi; Nicobaric; SOuth Aslian,827,*tiːʔ,hand; arm,969,*təj,hand,,,,,,,,,,,48
(aŋiˀd),louse,FR,iʔi,,RSED.p109,gisi,,BDBH.855,gisi,,AG08.p651,seʔ,,PKED.p258,ɛsɛ,,PJDW.p192,gsi,,PGEG.p23,se,,CDES.p116,siku,,BMED.p173,siku,,HOGV.p165,guhi:,,BAHL.p45,siku,,NKEV.p338,*siiˀ,louse,#A0009,V341,39,*ciiʔ (& *ciʔ?),louse,Mon; Khmer; Bahnaric; Palaungic; Khasi; Vietnames-Muong; Aslian; Nicobarese; Katuic,—	,—,—,171,*caj,louse,,,,,,,,,,"Unexplained variation of *i₁, especially the constrast to *tiiˀ ‘hand’ (\#0008-2) is striking. Kharia /e/, Juang /ɛ/, and Santali /e/ cannot be explained. Pinnow (1959, p. 164 and p. 195) reconstructs proto-Munda *e/*ɛ. However, positing #0009-2 as a continuation of proto-Munda *e (*ɛ) is also not consistent. MKCD 39 *ciiʔ also suggests proto-Munda *siiˀ.",22
zḭŋ,leg,FR,ɟe:ˀŋ,,RSED.p123,suŋ,,BDBH.1363,suŋ,,GZ63.205,juŋ,,PKED.p66,iɟiŋ,,PJDW.p208,nco,,PGEG.p114,jaŋga,,CDES.p76,jaŋga,,HLKS.182,—,,—,—,,—,(naŋga),,NKEV.p327,*ɟv₇ŋ,foot,#A0010,V365,538,*juŋ; *juəŋ; *jəŋ; *jəəŋ,foot; leg,Mon; Palaungic; Central & South Aslian / Khmuic; Palaungic / Bahnaric; ?Mon / Khmer; Katuic; North Bahnaric; ?South Bahnaric,140,ɟɤːŋ,foot; leg,1078,*jɨŋ,foot,,,,,,,,,,"This is a unique set with unclear reflexes for the vowel. Pinnow (1959, p. 169) says “...so bleibt der Vokalwechsel des Wortes für Fuß, Bein ein gänzlich ungelöstes Rätsel der austroasiatischen Sprachwissenschaft,...”",46
