gloss,Column,gorum,sora,remo,gutob,kharia,juang,gtaq,santali,mundari,ho,korwa,korku,set_v2,pm_v2,mkcd,mkcd_id,pinnow_set,cv
water_1,#A0001-1,ɖ,d,d,ɖ,ɖ,ɖ,d,d,d,d,d,ɖ,d,d,ɗ,mkcd_0274,,C
water_2,#A0001-2,a,a,a,a,a,a,ia,a,a:,a,a:,a,a2,a,aa,mkcd_0274,V2,V
water_3,#A0001-3,ʔ,ʔ,k',ʔ,ʔ,g,ʔ,k',∅,ʔ,ʔ,∅,ˀk,ˀk,k,mkcd_0274,,C
bone_1,#A0002-1,z,ɟ,s,s,j,ɟ,c,j,j,j,j,—,ɟ,ɟ,cʔ,mkcd_0488,,C
bone_2,#A0002-2,a,a,a,a,a,a,ia,a,a:,a,a:,—,a2,a,aa/ai/i[ ] ,mkcd_0488,V7,V
bone_3,#A0002-3,ŋ,ŋ,ŋ,ŋ,ŋ,ŋ,∅,ŋ,ŋ,ŋ,ŋ,—,ŋ1,ŋ,ŋ,mkcd_0488,,C
tongue_1,#A0003-1,l,l,l,l,l,l,l,l,l,—,l,l,l1,l,—,—,,C
tongue_2,#A0003-2,a,a,a,a,a,a,ia,a,a:,—,a:,a,a2,a,—,—,V14,V
tongue_3,#A0003-3,ŋ,ŋ,ŋ,ŋ,ŋ,ŋ,∅,ŋ,ŋ,—,ŋ,ŋ,ŋ1,ŋ,—,—,,C
tiger_1,#A0004-1,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,mkcd_0197,,C
tiger_2,#A0004-2,u,i,u,i,i,i,u,u,u,u,u:,u,VS-005,ᵊ,∅,mkcd_0197,,V
tiger_3,#A0004-3,l,n,∅,l,ɽ,ɭ,∅,l,l,l,l,l,l2,l,l,mkcd_0197,,C
tiger_4,#A0004-4,a,a:,∅,∅,o,o,∅,∅,a:,a,∅,a,a5,a,a,mkcd_0197,,V
tiger_5,#A0004-5,ʔ,∅,∅,∅,ʔ,g,∅,∅,∅,∅,∅,∅,ˀ∅,ˀ∅,ʔ,mkcd_0197,,C
weave(v)_1,#A0005-1,t,t,t,t,t,—,t,t,t,t,—,—,t1,t,t₁,mkcd_0898,,C
weave(v)_2,#A0005-2,a,a,a,a,a,—,æ,e,e,e,—,—,a3,a,aa,mkcd_0898,,V
weave(v)_3,#A0005-3,ɲ,ɲ,Ny,ɲ,ɲ,—,∅,ɲ,ŋ,ɲ,—,—,ɲ1,ɲ,ɲ,mkcd_0898,,C
climb(v)_1,#A0006-1,ɖ,d,ɖ,ɖ,—,ɖ,ɖ,d,d,d,d,—,d,d,[ɗ]?,mkcd_0332,,C
climb(v)_2,#A0006-2,a,a,a,a,—,a,æ,e̠,e,e,e,—,a3,a,ə?,mkcd_0332,,V
climb(v)_3,#A0006-3,ˀɟ,ɟ,ĭ,j,—,ɲ,ʔ,c',j',ʔ,ʔ,—,ˀc,ˀc,k?,mkcd_0332,,C
horn_1,#A0007-1,ɖ,d,d,—,ɖ,—,ɖ,d,d,d,d,—,d,d,d₂,mkcd_0699,,C
horn_2,#A0007-2,e,e,e,—,e,—,i,e,i,i,e,—,ə2,ə,∅,mkcd_0699,,V
horn_3,#A0007-3,r,r,r,—,r,—,r,r,r,r,r,—,r1/2,r,r,mkcd_0699,,C
horn_4,#A0007-4,a,a,u,—,e,—,a,e,i,i,e,—,VS-006,,a,mkcd_0699,,V
horn_5,#A0007-5,ŋ,ŋ,ŋ,—,ŋ,—,ŋ,ɲ,ŋ,ɲ,ŋ,—,ŋ2,ŋ,ŋ,mkcd_0699,,C
hand_1,#A0008-1,s,s,t,t,t,t,t,t,t,t,t,ʈ,t2,t,t₁,mkcd_0066,,C
hand_2,#A0008-2,i,i:,i,i,i,i,i,i,i,i:,i(:),i,i1,i,ii,mkcd_0066,,V
