gloss,gorum,sora,remo,gutob,kharia,juang,gtaq,santali,mundari,ho,korwa,korku,set
water_1,ɖ,d,d,ɖ,ɖ,ɖ,d,d,d,d,d,ɖ,d1
water_2,a,a,a,a,a,a,ia,a,a:,a,a:,a,a2
water_3,ʔ,ʔ,k',ʔ,ʔ,g,ʔ,k',0,ʔ,ʔ,0,ˀk1
bone_1,z,ɟ,s,s,j,ɟ,c,j,j,j,j,x,ɟ1
bone_2,a,a,a,a,a,a,ia,a,a:,a,a:,x,a2
bone_3,ŋ,ŋ,ŋ,ŋ,ŋ,ŋ,0,ŋ,ŋ,ŋ,ŋ,x,ŋ1
tongue_1,l,l,l,l,l,l,l,l,l,x,l,l,l1
tongue_2,a,a,a,a,a,a,ia,a,a:,x,a:,a,a2
tongue_3,ŋ,ŋ,ŋ,ŋ,ŋ,ŋ,0,ŋ,ŋ,x,ŋ,ŋ,ŋ1
tiger_1,k,k,k,k,k,k,k,k,k,k,k,k,k1-1
tiger_2,u,i,u,i,i,i,u,u,u,u,u:,u,
tiger_3,l,n,0,l,ɽ,ɭ,0,l,l,l,l,l,l1-3
tiger_4,a,a:,0,0,o,o,0,0,a:,a,0,a,
tiger_5,ʔ,0,0,0,ʔ,g,0,0,0,0,0,0,ʔ1a
weave(v)_1,t,t,t,t,t,x,t,t,t,t,x,x,t1
weave(v)_2,a,a,a,a,a,x,æ,e,e,e,x,x,
weave(v)_3,ɲ,ɲ,Ny,ɲ,ɲ,x,0,ɲ,ŋ,ɲ,x,x,ɲ1
climb(v)_1,ɖ,d,ɖ,ɖ,x,ɖ,ɖ,d,d,d,d,x,d1
climb(v)_2,a,a,a,a,x,a,æ,e̠,e,e,e,x,
climb(v)_3,ˀɟ,ɟ,ĭ,j,x,ɲ,ʔ,c',j',ʔ,ʔ,x,ˀɟ1a
horn_1,ɖ,d,d,x,ɖ,x,ɖ,d,d,d,d,x,d1
horn_2,e,e,e,x,e,x,i,e,i,i,e,x,
horn_3,r,r,r,x,r,x,r,r,r,r,r,x,r1
horn_4,a,a,u,x,e,x,a,e,i,i,e,x,
horn_5,ŋ,ŋ,ŋ,x,ŋ,x,ŋ,ɲ,ŋ,ɲ,ŋ,x,ŋ1-4
hand_1,s,s,t,t,t,t,t,t,t,t,t,ʈ,t3
hand_2,i,i:,i,i,i,i,i,i,i,i:,i(:),i,i1
hand_3,ʔ,ʔ,0,0,ʔ,0,0,0,0,0,ʔ,0,ʔ1b
louse_1,x,0,s,s,s,s,s,s,s,s,(h),s,s1
louse_2,x,i,i,i,e,ɛ,i,e,i,i,(i:),i,
louse_3,x,0,0,0,ʔ,0,0,0,k,k,(0),k,ʔ2a
foot_1,z,ɟ,s,s,j,ɟ,c,j,j,x,x,x,ɟ1
foot_2,i,e:,u,u,u,i,o,a,a,x,x,x,
foot_3,ŋ,ŋ,ŋ,ŋ,ŋ,ŋ,0,ŋ,ŋ,x,x,x,ŋ1
head_1,b,b,b,b,b,b,b,b,b,b,b,x,b1
head_2,0,0,0,0,o,o,0,o̠,0,0,0,x,
head_3,0,0,0,0,k,k,h,h,0,0,0,x,k2
head_4,a,o:,o,o,o,o,a,o̠,o,o:,o,x,
head_5,ˀb,ˀb,b,b,ˀb,b,ʔ,k',0,ʔ,ʔ,x,b2-1b
eye_1,m,m,m,m,m,m,m,m,m,m,m,m,m1
eye_2,a,o:,o,o,o,ɔ,ua,e̠,e,e,e,e,
eye_3,ˀd,ˀd,ʔ,ʔ,ˀɖ,ɖ,ʔ,t',d',ɖ,ɖ,d,ˀt1
cut(v)_1,g,g,g,g,g,x,g,g,g,g,g,g,g1
cut(v)_2,a,a,o,o,a,x,wa,e̠,e,e,e,e,
cut(v)_3,ˀd,d,ʔ,ʔ,ˀɖ,x,ʔ,t',d',ɖ,ɖ,ʈ,ˀt1a
thatch_1,a,ə,0,u,o,o,0,x,x,x,x,x,
thatch_2,l,l,l,l,l,l,l,x,x,x,x,x,l1
thatch_3,a,a,ɔ,o,o,o,o,x,x,x,x,x,
thatch_4,ŋ,ŋ,ŋ,ŋ,ŋ,ŋ,0,x,x,x,x,x,ŋ1
eat(v)_1,z,ɟ,s,s,j,ɟ,c,j,j,j,j,j,ɟ1
eat(v)_2,u,o,u,o,o,i,o,o̠,o,o,o,o,
eat(v)_3,m,m,m,m,m,m,ŋ,m,m,m,m,m,m2
drunk_1,b,b,b,b,b,b,b,b,b,b,b,b,b1
drunk_2,u,u,u,i,u,u,u,u,u,u,u,u,
drunk_3,l,l,0,l,l,l,0,l,l,l,l,l,l1
thigh_1,b,b,b,x,bh,b,b,b,b,b,b,b,b1-1
thigh_2,u,u,u/i,x,u,u,u,u,u,u,u:,u,u1
thigh_3,l,l,l,x,l,l,l,l,l,l,l,l,l1
thigh_4,u,u:,i,x,u,u,u,u,u,u,0,u,
ripe_1,x,x,b,b,b,b,b,b,b,b,bh,b,b1-1
ripe_2,x,x,u,u,e,i,0,e,i,i,i:,i,
ripe_3,x,x,l,l,l,l,l,l,l,l,l,l,l1
ripe_4,x,x,u,u,o,i,e,e,i,i,i:,i,
raw_1,x,x,b,b,b,b,b,b,b,b,b,b,b1
raw_2,x,x,u,u,o,o,0,e̠,e,e,e,o,
raw_3,x,x,r,r,r,r,r,r,r,r,r,ɽ,r1a
raw_4,x,x,o,o,o,o,wa,e̠,e,e,e,x,
raw_5,x,x,0,l,l,n,0,l,l,l,l,x,l2-1
stone_1,0,0,x,x,s,x,x,x,s,s,x,x,s1
stone_2,a,a,x,x,o,x,x,x,e,e,x,x,
stone_3,r,r,x,x,r,x,x,x,r,r,x,x,r1
